N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN0RN0CN0-ECS50-COONNNN-5;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;362,7583333;362,7583333;362,7583333;362,7583333;362,7583333;457,4056350;457,4056350;457,4056350;457,4056350;457,4056350;462,4552321;462,4552321;462,4552321;462,4552321;462,4552321;448,3314427;448,3314427;448,3314427;448,3314427;448,3314427;432,2560824;432,2560824;432,2560824;432,2560824;432,2560824;441,2435292;441,2435292;441,2435292;441,2435292;441,2435292;450,4048440;450,4048440;450,4048440;450,4048440;450,4048440;453,3319942;453,3319942;453,3319942;453,3319942;453,3319942;459,3453424;459,3453424;459,3453424;459,3453424;459,3453424;458,8583037;458,8583037;458,8583037;458,8583037;
S;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;202,0703653;202,0703653;202,0703653;202,0703653;202,0703653;146,6782802;146,6782802;146,6782802;146,6782802;146,6782802;101,0083308;101,0083308;101,0083308;101,0083308;101,0083308;95,9511749;95,9511749;95,9511749;95,9511749;95,9511749;86,4948007;86,4948007;86,4948007;86,4948007;86,4948007;77,6642650;77,6642650;77,6642650;77,6642650;77,6642650;90,7237875;90,7237875;90,7237875;90,7237875;90,7237875;87,5923442;87,5923442;87,5923442;87,5923442;87,5923442;82,3706118;82,3706118;82,3706118;82,3706118;82,3706118;80,3509255;80,3509255;80,3509255;80,3509255;
V;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;39471,3514453;39471,3514453;39471,3514453;39471,3514453;39471,3514453;20797,3672737;20797,3672737;20797,3672737;20797,3672737;20797,3672737;9862,5934600;9862,5934600;9862,5934600;9862,5934600;9862,5934600;8899,7403688;8899,7403688;8899,7403688;8899,7403688;8899,7403688;7231,9721944;7231,9721944;7231,9721944;7231,9721944;7231,9721944;5830,6801252;5830,6801252;5830,6801252;5830,6801252;5830,6801252;7956,4454248;7956,4454248;7956,4454248;7956,4454248;7956,4454248;7416,6714668;7416,6714668;7416,6714668;7416,6714668;7416,6714668;6558,7537682;6558,7537682;6558,7537682;6558,7537682;6558,7537682;6241,0621912;6241,0621912;6241,0621912;6241,0621912;
Intervallo;[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[300,15120 , 425,36547];[300,15120 , 425,36547];[300,15120 , 425,36547];[300,15120 , 425,36547];[300,15120 , 425,36547];[411,96054 , 502,85073];[411,96054 , 502,85073];[411,96054 , 502,85073];[411,96054 , 502,85073];[411,96054 , 502,85073];[431,15998 , 493,75048];[431,15998 , 493,75048];[431,15998 , 493,75048];[431,15998 , 493,75048];[431,15998 , 493,75048];[418,60304 , 478,05984];[418,60304 , 478,05984];[418,60304 , 478,05984];[418,60304 , 478,05984];[418,60304 , 478,05984];[405,45754 , 459,05463];[405,45754 , 459,05463];[405,45754 , 459,05463];[405,45754 , 459,05463];[405,45754 , 459,05463];[417,18093 , 465,30612];[417,18093 , 465,30612];[417,18093 , 465,30612];[417,18093 , 465,30612];[417,18093 , 465,30612];[422,29604 , 478,51365];[422,29604 , 478,51365];[422,29604 , 478,51365];[422,29604 , 478,51365];[422,29604 , 478,51365];[426,19340 , 480,47059];[426,19340 , 480,47059];[426,19340 , 480,47059];[426,19340 , 480,47059];[426,19340 , 480,47059];[433,82459 , 484,86610];[433,82459 , 484,86610];[433,82459 , 484,86610];[433,82459 , 484,86610];[433,82459 , 484,86610];[433,96331 , 483,75330];[433,96331 , 483,75330];[433,96331 , 483,75330];[433,96331 , 483,75330];
N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN10RN10CN0-ECS50-COONNNN-5;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;372,1638889;372,1638889;372,1638889;372,1638889;372,1638889;389,5323809;389,5323809;389,5323809;389,5323809;389,5323809;413,6473545;413,6473545;413,6473545;413,6473545;413,6473545;412,2638386;412,2638386;412,2638386;412,2638386;412,2638386;406,4469294;406,4469294;406,4469294;406,4469294;406,4469294;404,4342334;404,4342334;404,4342334;404,4342334;404,4342334;414,9705483;414,9705483;414,9705483;414,9705483;414,9705483;415,8337582;415,8337582;415,8337582;415,8337582;415,8337582;423,7591381;423,7591381;423,7591381;423,7591381;423,7591381;434,9637636;434,9637636;434,9637636;434,9637636;
S;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;224,4067866;224,4067866;224,4067866;224,4067866;224,4067866;152,4289138;152,4289138;152,4289138;152,4289138;152,4289138;123,4538663;123,4538663;123,4538663;123,4538663;123,4538663;90,4036478;90,4036478;90,4036478;90,4036478;90,4036478;77,7362783;77,7362783;77,7362783;77,7362783;77,7362783;76,0987375;76,0987375;76,0987375;76,0987375;76,0987375;69,7941333;69,7941333;69,7941333;69,7941333;69,7941333;62,5598686;62,5598686;62,5598686;62,5598686;62,5598686;65,5732294;65,5732294;65,5732294;65,5732294;65,5732294;69,2390114;69,2390114;69,2390114;69,2390114;
V;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;48679,7923624;48679,7923624;48679,7923624;48679,7923624;48679,7923624;22460,0879700;22460,0879700;22460,0879700;22460,0879700;22460,0879700;14732,8285281;14732,8285281;14732,8285281;14732,8285281;14732,8285281;7900,3922250;7900,3922250;7900,3922250;7900,3922250;7900,3922250;5841,4979955;5841,4979955;5841,4979955;5841,4979955;5841,4979955;5597,9839276;5597,9839276;5597,9839276;5597,9839276;5597,9839276;4708,8470142;4708,8470142;4708,8470142;4708,8470142;4708,8470142;3783,2792595;3783,2792595;3783,2792595;3783,2792595;3783,2792595;4156,5201315;4156,5201315;4156,5201315;4156,5201315;4156,5201315;4634,2393367;4634,2393367;4634,2393367;4634,2393367;
Intervallo;[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[302,63629 , 441,69148];[302,63629 , 441,69148];[302,63629 , 441,69148];[302,63629 , 441,69148];[302,63629 , 441,69148];[342,30558 , 436,75919];[342,30558 , 436,75919];[342,30558 , 436,75919];[342,30558 , 436,75919];[342,30558 , 436,75919];[375,39784 , 451,89687];[375,39784 , 451,89687];[375,39784 , 451,89687];[375,39784 , 451,89687];[375,39784 , 451,89687];[384,25422 , 440,27346];[384,25422 , 440,27346];[384,25422 , 440,27346];[384,25422 , 440,27346];[384,25422 , 440,27346];[382,36202 , 430,53184];[382,36202 , 430,53184];[382,36202 , 430,53184];[382,36202 , 430,53184];[382,36202 , 430,53184];[380,85668 , 428,01178];[380,85668 , 428,01178];[380,85668 , 428,01178];[380,85668 , 428,01178];[380,85668 , 428,01178];[393,34634 , 436,59475];[393,34634 , 436,59475];[393,34634 , 436,59475];[393,34634 , 436,59475];[393,34634 , 436,59475];[396,45093 , 435,21658];[396,45093 , 435,21658];[396,45093 , 435,21658];[396,45093 , 435,21658];[396,45093 , 435,21658];[403,44269 , 444,07559];[403,44269 , 444,07559];[403,44269 , 444,07559];[403,44269 , 444,07559];[403,44269 , 444,07559];[413,51155 , 456,41598];[413,51155 , 456,41598];[413,51155 , 456,41598];[413,51155 , 456,41598];
N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN20RN20CN0-ECS50-COONNNN-5;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;361,2111111;361,2111111;361,2111111;361,2111111;361,2111111;362,9653174;362,9653174;362,9653174;362,9653174;362,9653174;390,0897547;390,0897547;390,0897547;390,0897547;390,0897547;399,7840109;399,7840109;399,7840109;399,7840109;399,7840109;417,1637061;417,1637061;417,1637061;417,1637061;417,1637061;414,0160084;414,0160084;414,0160084;414,0160084;414,0160084;419,2730887;419,2730887;419,2730887;419,2730887;419,2730887;422,6444848;422,6444848;422,6444848;422,6444848;422,6444848;437,4604674;437,4604674;437,4604674;437,4604674;437,4604674;442,3027281;442,3027281;442,3027281;442,3027281;
S;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;218,2601842;218,2601842;218,2601842;218,2601842;218,2601842;121,9590415;121,9590415;121,9590415;121,9590415;121,9590415;126,6103144;126,6103144;126,6103144;126,6103144;126,6103144;114,2644531;114,2644531;114,2644531;114,2644531;114,2644531;94,7290765;94,7290765;94,7290765;94,7290765;94,7290765;95,7546469;95,7546469;95,7546469;95,7546469;95,7546469;86,5869897;86,5869897;86,5869897;86,5869897;86,5869897;81,1987938;81,1987938;81,1987938;81,1987938;81,1987938;86,6778362;86,6778362;86,6778362;86,6778362;86,6778362;80,4675208;80,4675208;80,4675208;80,4675208;
