N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN0RN0CN0-ECS50-COONNNN-5;2722498,8333333;
S;20636,8120167;
V;411682076,5388889;
Intervallo;[2716104,96302 , 2728892,70364];
N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN10RN10CN0-ECS50-COONNNN-5;2605642,5333333;
S;19953,5924580;
V;384874323,5822220;
Intervallo;[2599460,34384 , 2611824,72283];
N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN20RN20CN0-ECS50-COONNNN-5;2495134,6666667;
S;24604,9489237;
V;585223394,4888890;
Intervallo;[2487511,35487 , 2502757,97846];
N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN5RN5CN0-ECS50-COONNNN-5;2659268,4000000;
S;19432,7680684;
V;365044725,6400001;
Intervallo;[2653247,57669 , 2665289,22331];
