N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN0RN0CN0-ECS50-COONNNN-5;26,9666667;50,0000000;
S;3,6904661;0,0000000;
V;13,1655556;0,0000000;
Intervallo;[25,82326 , 28,11008];[50,00000 , 50,00000];
N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN10RN10CN0-ECS50-COONNNN-5;27,0666667;50,0000000;
S;3,5128663;0,0000000;
V;11,9288889;0,0000000;
Intervallo;[25,97828 , 28,15505];[50,00000 , 50,00000];
N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN20RN20CN0-ECS50-COONNNN-5;25,1666667;50,0000000;
S;3,4248920;0,0000000;
V;11,3388889;0,0000000;
Intervallo;[24,10554 , 26,22780];[50,00000 , 50,00000];
N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN5RN5CN0-ECS50-COONNNN-5;27,0666667;50,0000000;
S;3,4132938;0,0000000;
V;11,2622222;0,0000000;
Intervallo;[26,00913 , 28,12420];[50,00000 , 50,00000];
