N6000-8.4E-4I0-C61-5-QS5T25W10P100-AN0RN0CN0-ECS50-COONNNN-5;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;362,7583333;362,7583333;362,7583333;362,7583333;362,7583333;457,4056350;457,4056350;457,4056350;457,4056350;457,4056350;462,4552321;462,4552321;462,4552321;462,4552321;462,4552321;448,3314427;448,3314427;448,3314427;448,3314427;448,3314427;432,2560824;432,2560824;432,2560824;432,2560824;432,2560824;441,2435292;441,2435292;441,2435292;441,2435292;441,2435292;449,1871456;449,1871456;449,1871456;449,1871456;449,1871456;452,2561707;452,2561707;452,2561707;452,2561707;452,2561707;459,6184611;459,6184611;459,6184611;459,6184611;459,6184611;459,2050640;459,2050640;459,2050640;459,2050640;
S;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;202,0703653;202,0703653;202,0703653;202,0703653;202,0703653;146,6782802;146,6782802;146,6782802;146,6782802;146,6782802;101,0083308;101,0083308;101,0083308;101,0083308;101,0083308;95,9511749;95,9511749;95,9511749;95,9511749;95,9511749;86,4948007;86,4948007;86,4948007;86,4948007;86,4948007;77,6642650;77,6642650;77,6642650;77,6642650;77,6642650;90,5525715;90,5525715;90,5525715;90,5525715;90,5525715;87,1844939;87,1844939;87,1844939;87,1844939;87,1844939;82,9910146;82,9910146;82,9910146;82,9910146;82,9910146;80,4204871;80,4204871;80,4204871;80,4204871;
V;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;39471,3514453;39471,3514453;39471,3514453;39471,3514453;39471,3514453;20797,3672737;20797,3672737;20797,3672737;20797,3672737;20797,3672737;9862,5934600;9862,5934600;9862,5934600;9862,5934600;9862,5934600;8899,7403688;8899,7403688;8899,7403688;8899,7403688;8899,7403688;7231,9721944;7231,9721944;7231,9721944;7231,9721944;7231,9721944;5830,6801252;5830,6801252;5830,6801252;5830,6801252;5830,6801252;7926,4425997;7926,4425997;7926,4425997;7926,4425997;7926,4425997;7347,7647854;7347,7647854;7347,7647854;7347,7647854;7347,7647854;6657,9248923;6657,9248923;6657,9248923;6657,9248923;6657,9248923;6251,8729275;6251,8729275;6251,8729275;6251,8729275;
Intervallo;[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[300,15120 , 425,36547];[300,15120 , 425,36547];[300,15120 , 425,36547];[300,15120 , 425,36547];[300,15120 , 425,36547];[411,96054 , 502,85073];[411,96054 , 502,85073];[411,96054 , 502,85073];[411,96054 , 502,85073];[411,96054 , 502,85073];[431,15998 , 493,75048];[431,15998 , 493,75048];[431,15998 , 493,75048];[431,15998 , 493,75048];[431,15998 , 493,75048];[418,60304 , 478,05984];[418,60304 , 478,05984];[418,60304 , 478,05984];[418,60304 , 478,05984];[418,60304 , 478,05984];[405,45754 , 459,05463];[405,45754 , 459,05463];[405,45754 , 459,05463];[405,45754 , 459,05463];[405,45754 , 459,05463];[417,18093 , 465,30612];[417,18093 , 465,30612];[417,18093 , 465,30612];[417,18093 , 465,30612];[417,18093 , 465,30612];[421,13139 , 477,24290];[421,13139 , 477,24290];[421,13139 , 477,24290];[421,13139 , 477,24290];[421,13139 , 477,24290];[425,24394 , 479,26840];[425,24394 , 479,26840];[425,24394 , 479,26840];[425,24394 , 479,26840];[425,24394 , 479,26840];[433,90549 , 485,33143];[433,90549 , 485,33143];[433,90549 , 485,33143];[433,90549 , 485,33143];[433,90549 , 485,33143];[434,28851 , 484,12161];[434,28851 , 484,12161];[434,28851 , 484,12161];[434,28851 , 484,12161];
N6000-8.4E-4I0-C61-5-QS5T25W10P100-AN20RN20CN0-ECS50-COONNNN-5;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;361,2111111;361,2111111;361,2111111;361,2111111;361,2111111;361,2153174;361,2153174;361,2153174;361,2153174;361,2153174;389,3722943;389,3722943;389,3722943;389,3722943;389,3722943;399,5603746;399,5603746;399,5603746;399,5603746;399,5603746;416,8596657;416,8596657;416,8596657;416,8596657;416,8596657;413,7278140;413,7278140;413,7278140;413,7278140;413,7278140;418,9969678;418,9969678;418,9969678;418,9969678;418,9969678;420,6427925;420,6427925;420,6427925;420,6427925;420,6427925;435,8830222;435,8830222;435,8830222;435,8830222;435,8830222;440,8732374;440,8732374;440,8732374;440,8732374;
S;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;218,2601842;218,2601842;218,2601842;218,2601842;218,2601842;119,8831269;119,8831269;119,8831269;119,8831269;119,8831269;125,3888357;125,3888357;125,3888357;125,3888357;125,3888357;113,7228203;113,7228203;113,7228203;113,7228203;113,7228203;94,0121961;94,0121961;94,0121961;94,0121961;94,0121961;95,1640073;95,1640073;95,1640073;95,1640073;95,1640073;86,0422171;86,0422171;86,0422171;86,0422171;86,0422171;78,7546063;78,7546063;78,7546063;78,7546063;78,7546063;85,0579686;85,0579686;85,0579686;85,0579686;85,0579686;79,3182512;79,3182512;79,3182512;79,3182512;
V;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;46049,5910912;46049,5910912;46049,5910912;46049,5910912;46049,5910912;13892,8986441;13892,8986441;13892,8986441;13892,8986441;13892,8986441;15198,2814488;15198,2814488;15198,2814488;15198,2814488;15198,2814488;12501,7838726;12501,7838726;12501,7838726;12501,7838726;12501,7838726;8543,6832438;8543,6832438;8543,6832438;8543,6832438;8543,6832438;8754,3153358;8754,3153358;8754,3153358;8754,3153358;8754,3153358;7156,4876942;7156,4876942;7156,4876942;7156,4876942;7156,4876942;5995,5450783;5995,5450783;5995,5450783;5995,5450783;5995,5450783;6993,6960809;6993,6960809;6993,6960809;6993,6960809;6993,6960809;6081,6721439;6081,6721439;6081,6721439;6081,6721439;
Intervallo;[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[293,58791 , 428,83431];[293,58791 , 428,83431];[293,58791 , 428,83431];[293,58791 , 428,83431];[293,58791 , 428,83431];[324,07212 , 398,35851];[324,07212 , 398,35851];[324,07212 , 398,35851];[324,07212 , 398,35851];[324,07212 , 398,35851];[350,52327 , 428,22132];[350,52327 , 428,22132];[350,52327 , 428,22132];[350,52327 , 428,22132];[350,52327 , 428,22132];[364,32582 , 434,79493];[364,32582 , 434,79493];[364,32582 , 434,79493];[364,32582 , 434,79493];[364,32582 , 434,79493];[387,73202 , 445,98731];[387,73202 , 445,98731];[387,73202 , 445,98731];[387,73202 , 445,98731];[387,73202 , 445,98731];[384,24330 , 443,21233];[384,24330 , 443,21233];[384,24330 , 443,21233];[384,24330 , 443,21233];[384,24330 , 443,21233];[392,33865 , 445,65529];[392,33865 , 445,65529];[392,33865 , 445,65529];[392,33865 , 445,65529];[392,33865 , 445,65529];[396,24238 , 445,04321];[396,24238 , 445,04321];[396,24238 , 445,04321];[396,24238 , 445,04321];[396,24238 , 445,04321];[409,52965 , 462,23640];[409,52965 , 462,23640];[409,52965 , 462,23640];[409,52965 , 462,23640];[409,52965 , 462,23640];[416,29819 , 465,44828];[416,29819 , 465,44828];[416,29819 , 465,44828];[416,29819 , 465,44828];
N6000-8.4E-4I0-C61-5-QS5T500W5P100-AN0RN0CN0-ECS50-COONNNN-5;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;362,7583333;362,7583333;362,7583333;362,7583333;362,7583333;457,4056350;457,4056350;457,4056350;457,4056350;457,4056350;462,4552321;462,4552321;462,4552321;462,4552321;462,4552321;448,3314427;448,3314427;448,3314427;448,3314427;448,3314427;432,2560824;432,2560824;432,2560824;432,2560824;432,2560824;441,2435292;441,2435292;441,2435292;441,2435292;441,2435292;450,4048440;450,4048440;450,4048440;450,4048440;450,4048440;453,3319942;453,3319942;453,3319942;453,3319942;453,3319942;459,3453424;459,3453424;459,3453424;459,3453424;459,3453424;458,8583037;458,8583037;458,8583037;458,8583037;458,8583037;458,1804977;458,1804977;458,1804977;458,1804977;
S;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;202,0703653;202,0703653;202,0703653;202,0703653;202,0703653;146,6782802;146,6782802;146,6782802;146,6782802;146,6782802;101,0083308;101,0083308;101,0083308;101,0083308;101,0083308;95,9511749;95,9511749;95,9511749;95,9511749;95,9511749;86,4948007;86,4948007;86,4948007;86,4948007;86,4948007;77,6642650;77,6642650;77,6642650;77,6642650;77,6642650;90,7237875;90,7237875;90,7237875;90,7237875;90,7237875;87,5923442;87,5923442;87,5923442;87,5923442;87,5923442;82,3706118;82,3706118;82,3706118;82,3706118;82,3706118;80,3509255;80,3509255;80,3509255;80,3509255;80,3509255;74,4272595;74,4272595;74,4272595;74,4272595;
