N6000-8.4E-4I0-C61-5-QS5T25W10P100-AN0RN0CN0-ECS50-COONNNN-5;26,9333333;50,0000000;
S;3,6665622;0,0000000;
V;12,9955556;0,0000000;
Intervallo;[25,79733 , 28,06934];[50,00000 , 50,00000];
N6000-8.4E-4I0-C61-5-QS5T25W10P100-AN20RN20CN0-ECS50-COONNNN-5;25,1000000;50,0000000;
S;3,4376215;0,0000000;
V;11,4233333;0,0000000;
Intervallo;[24,03493 , 26,16507];[50,00000 , 50,00000];
N6000-8.4E-4I0-C61-5-QS5T500W5P100-AN0RN0CN0-ECS50-COONNNN-5;29,7666667;55,0000000;
S;3,5005747;0,0000000;
V;11,8455556;0,0000000;
Intervallo;[28,68209 , 30,85124];[55,00000 , 55,00000];
N6000-8.4E-4I0-C61-5-QS5T500W5P100-AN20RN20CN0-ECS50-COONNNN-5;28,8000000;55,0000000;
S;3,6236769;0,0000000;
V;12,6933333;0,0000000;
Intervallo;[27,67728 , 29,92272];[55,00000 , 55,00000];
