N6000-0.0025I0-C200-5-QS5T500W10P300-AN0RN0CN0-ECS50-COONNNN-5;32987862,2333333;
S;139923,0813334;
V;18925853066,8455540;
Intervallo;[32944510,08985 , 33031214,37682];
N6000-0.0025I0-C200-5-QS5T500W10P300-AN20RN20CN0-ECS50-COONNNN-5;25687717,0000000;
S;75706,7137263;
V;5540456286,4666660;
Intervallo;[25664260,91052 , 25711173,08948];
N6000-0.0025I0-C200-5-QS5T500W5P300-AN0RN0CN0-ECS50-COONNNN-5;33856139,6000000;
S;143202,1496929;
V;19823293820,7733350;
Intervallo;[33811771,50803 , 33900507,69197];
N6000-0.0025I0-C200-5-QS5T500W5P300-AN20RN20CN0-ECS50-COONNNN-5;26233038,9000000;
S;76590,8186972;
V;5670615058,4233340;
Intervallo;[26209308,88970 , 26256768,91030];
