N6000-0.0025I0-C61-5-QS5T25W10P300-AN20RN20CN0-ECS50-COONNNN-5;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;56,9333333;56,9333333;56,9333333;56,9333333;56,9333333;99,7666667;99,7666667;99,7666667;99,7666667;99,7666667;116,7944445;116,7944445;116,7944445;116,7944445;116,7944445;121,8250000;121,8250000;121,8250000;121,8250000;121,8250000;158,5505556;158,5505556;158,5505556;158,5505556;158,5505556;156,1305556;156,1305556;156,1305556;156,1305556;156,1305556;168,4266667;168,4266667;168,4266667;168,4266667;168,4266667;181,5485714;181,5485714;181,5485714;181,5485714;181,5485714;182,7896826;182,7896826;182,7896826;182,7896826;182,7896826;197,1535715;197,1535715;197,1535715;197,1535715;
S;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;185,9091238;185,9091238;185,9091238;185,9091238;185,9091238;175,8119456;175,8119456;175,8119456;175,8119456;175,8119456;170,1411386;170,1411386;170,1411386;170,1411386;170,1411386;147,4675533;147,4675533;147,4675533;147,4675533;147,4675533;158,0277998;158,0277998;158,0277998;158,0277998;158,0277998;157,9972745;157,9972745;157,9972745;157,9972745;157,9972745;160,0149192;160,0149192;160,0149192;160,0149192;160,0149192;177,7731780;177,7731780;177,7731780;177,7731780;177,7731780;177,5447817;177,5447817;177,5447817;177,5447817;177,5447817;170,2405840;170,2405840;170,2405840;170,2405840;
V;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;33410,1288889;33410,1288889;33410,1288889;33410,1288889;33410,1288889;29879,5122222;29879,5122222;29879,5122222;29879,5122222;29879,5122222;27983,0734872;27983,0734872;27983,0734872;27983,0734872;27983,0734872;21021,7899691;21021,7899691;21021,7899691;21021,7899691;21021,7899691;24140,3593131;24140,3593131;24140,3593131;24140,3593131;24140,3593131;24131,0341228;24131,0341228;24131,0341228;24131,0341228;24131,0341228;24751,2818975;24751,2818975;24751,2818975;24751,2818975;24751,2818975;30549,8593930;30549,8593930;30549,8593930;30549,8593930;30549,8593930;30471,4111868;30471,4111868;30471,4111868;30471,4111868;30471,4111868;28015,7945675;28015,7945675;28015,7945675;28015,7945675;
Intervallo;[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-0,66659 , 114,53326];[-0,66659 , 114,53326];[-0,66659 , 114,53326];[-0,66659 , 114,53326];[-0,66659 , 114,53326];[45,29513 , 154,23820];[45,29513 , 154,23820];[45,29513 , 154,23820];[45,29513 , 154,23820];[45,29513 , 154,23820];[64,07989 , 169,50900];[64,07989 , 169,50900];[64,07989 , 169,50900];[64,07989 , 169,50900];[64,07989 , 169,50900];[76,13536 , 167,51464];[76,13536 , 167,51464];[76,13536 , 167,51464];[76,13536 , 167,51464];[76,13536 , 167,51464];[109,58906 , 207,51205];[109,58906 , 207,51205];[109,58906 , 207,51205];[109,58906 , 207,51205];[109,58906 , 207,51205];[107,17851 , 205,08260];[107,17851 , 205,08260];[107,17851 , 205,08260];[107,17851 , 205,08260];[107,17851 , 205,08260];[118,84950 , 218,00383];[118,84950 , 218,00383];[118,84950 , 218,00383];[118,84950 , 218,00383];[118,84950 , 218,00383];[126,46939 , 236,62775];[126,46939 , 236,62775];[126,46939 , 236,62775];[126,46939 , 236,62775];[126,46939 , 236,62775];[127,78127 , 237,79810];[127,78127 , 237,79810];[127,78127 , 237,79810];[127,78127 , 237,79810];[127,78127 , 237,79810];[144,40820 , 249,89894];[144,40820 , 249,89894];[144,40820 , 249,89894];[144,40820 , 249,89894];
N6000-0.0025I0-C61-5-QS5T500W10P300-AN0RN0CN0-ECS50-COONNNN-5;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;12,9666667;12,9666667;12,9666667;12,9666667;12,9666667;154,3833333;154,3833333;154,3833333;154,3833333;154,3833333;241,6722222;241,6722222;241,6722222;241,6722222;241,6722222;232,7527778;232,7527778;232,7527778;232,7527778;232,7527778;260,7250000;260,7250000;260,7250000;260,7250000;260,7250000;292,4644445;292,4644445;292,4644445;292,4644445;292,4644445;295,4038889;295,4038889;295,4038889;295,4038889;295,4038889;277,3894445;277,3894445;277,3894445;277,3894445;277,3894445;263,9800000;263,9800000;263,9800000;263,9800000;263,9800000;270,4519048;270,4519048;270,4519048;270,4519048;
S;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;49,0948999;49,0948999;49,0948999;49,0948999;49,0948999;321,0448911;321,0448911;321,0448911;321,0448911;321,0448911;356,4383346;356,4383346;356,4383346;356,4383346;356,4383346;320,3631534;320,3631534;320,3631534;320,3631534;320,3631534;374,6593006;374,6593006;374,6593006;374,6593006;374,6593006;364,8022759;364,8022759;364,8022759;364,8022759;364,8022759;364,0969204;364,0969204;364,0969204;364,0969204;364,0969204;294,9502541;294,9502541;294,9502541;294,9502541;294,9502541;214,9162992;214,9162992;214,9162992;214,9162992;214,9162992;196,6958897;196,6958897;196,6958897;196,6958897;
V;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;2329,9655556;2329,9655556;2329,9655556;2329,9655556;2329,9655556;99634,1613889;99634,1613889;99634,1613889;99634,1613889;99634,1613889;122813,3434862;122813,3434862;122813,3434862;122813,3434862;122813,3434862;99211,4650326;99211,4650326;99211,4650326;99211,4650326;99211,4650326;135690,6051539;135690,6051539;135690,6051539;135690,6051539;135690,6051539;128644,6771429;128644,6771429;128644,6771429;128644,6771429;128644,6771429;128147,6818448;128147,6818448;128147,6818448;128147,6818448;128147,6818448;84095,7973375;84095,7973375;84095,7973375;84095,7973375;84095,7973375;44649,3817981;44649,3817981;44649,3817981;44649,3817981;44649,3817981;37399,6306038;37399,6306038;37399,6306038;37399,6306038;
Intervallo;[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-2,24433 , 28,17766];[-2,24433 , 28,17766];[-2,24433 , 28,17766];[-2,24433 , 28,17766];[-2,24433 , 28,17766];[54,91451 , 253,85216];[54,91451 , 253,85216];[54,91451 , 253,85216];[54,91451 , 253,85216];[54,91451 , 253,85216];[131,23751 , 352,10694];[131,23751 , 352,10694];[131,23751 , 352,10694];[131,23751 , 352,10694];[131,23751 , 352,10694];[133,49518 , 332,01038];[133,49518 , 332,01038];[133,49518 , 332,01038];[133,49518 , 332,01038];[133,49518 , 332,01038];[144,64491 , 376,80509];[144,64491 , 376,80509];[144,64491 , 376,80509];[144,64491 , 376,80509];[144,64491 , 376,80509];[179,43834 , 405,49055];[179,43834 , 405,49055];[179,43834 , 405,49055];[179,43834 , 405,49055];[179,43834 , 405,49055];[182,59633 , 408,21145];[182,59633 , 408,21145];[182,59633 , 408,21145];[182,59633 , 408,21145];[182,59633 , 408,21145];[186,00548 , 368,77341];[186,00548 , 368,77341];[186,00548 , 368,77341];[186,00548 , 368,77341];[186,00548 , 368,77341];[197,39283 , 330,56717];[197,39283 , 330,56717];[197,39283 , 330,56717];[197,39283 , 330,56717];[197,39283 , 330,56717];[209,50993 , 331,39388];[209,50993 , 331,39388];[209,50993 , 331,39388];[209,50993 , 331,39388];
N6000-0.0025I0-C61-5-QS5T500W10P300-AN20RN20CN0-ECS50-COONNNN-5;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;44,3000000;44,3000000;44,3000000;44,3000000;44,3000000;87,1333333;87,1333333;87,1333333;87,1333333;87,1333333;111,1944445;111,1944445;111,1944445;111,1944445;111,1944445;155,1416667;155,1416667;155,1416667;155,1416667;155,1416667;179,9283333;179,9283333;179,9283333;179,9283333;179,9283333;178,1505556;178,1505556;178,1505556;178,1505556;178,1505556;190,1688889;190,1688889;190,1688889;190,1688889;190,1688889;197,7055555;197,7055555;197,7055555;197,7055555;197,7055555;199,8066667;199,8066667;199,8066667;199,8066667;199,8066667;214,1705556;214,1705556;214,1705556;214,1705556;
S;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;175,9494735;175,9494735;175,9494735;175,9494735;175,9494735;168,5984279;168,5984279;168,5984279;168,5984279;168,5984279;177,3718418;177,3718418;177,3718418;177,3718418;177,3718418;214,9313656;214,9313656;214,9313656;214,9313656;214,9313656;214,9572163;214,9572163;214,9572163;214,9572163;214,9572163;215,5603918;215,5603918;215,5603918;215,5603918;215,5603918;216,5619880;216,5619880;216,5619880;216,5619880;216,5619880;186,6459498;186,6459498;186,6459498;186,6459498;186,6459498;189,4906392;189,4906392;189,4906392;189,4906392;189,4906392;181,2751828;181,2751828;181,2751828;181,2751828;
