N6000-0.0025I0-C61-5-QS5T25W10P300-AN20RN20CN0-ECS50-COONNNN-5;7229849,2000000;
S;27837,7276983;
V;749107780,6266667;
Intervallo;[7221224,28155 , 7238474,11845];
N6000-0.0025I0-C61-5-QS5T500W10P300-AN0RN0CN0-ECS50-COONNNN-5;8682981,8333333;
S;32949,8545903;
V;1049503153,6055558;
Intervallo;[8672773,03282 , 8693190,63384];
N6000-0.0025I0-C61-5-QS5T500W10P300-AN20RN20CN0-ECS50-COONNNN-5;8038663,7666667;
S;29645,2203424;
V;849544452,8455555;
Intervallo;[8029478,83568 , 8047848,69766];
N6000-0.0025I0-C61-5-QS5T500W5P300-AN20RN20CN0-ECS50-COONNNN-5;8776848,9000000;
S;32470,2907460;
V;1019175788,4233334;
Intervallo;[8766788,68199 , 8786909,11801];
