N6000-0.0042I0-C61-5-QS5T25W10P500-AN20RN20CN0-ECS50-COONNNN-5;5,0000000;356318,8000000;196363,2333333;2937,4000000;1852,3666667;1852,2000000;339597,4000000;220405,8333333;5705,9000000;3771,9666667;3767,4000000;353513,9666667;211612,7333333;6834,4333333;5585,8666667;5581,7666667;327598,1333333;230249,2333333;9305,8666667;7410,2000000;7406,2666667;315646,5333333;242437,8000000;11905,1000000;9228,2666667;9223,3000000;341957,3333333;225173,2000000;12299,5000000;11036,6333333;11036,2000000;299439,8333333;256275,0666667;15632,3666667;12854,9000000;12846,3666667;345120,9333333;231231,6000000;16763,9333333;14662,7333333;14658,8000000;341567,3000000;240346,7000000;18506,4333333;16501,7000000;16499,3666667;339913,6333333;234551,8000000;20108,9000000;18323,0666667;18315,3000000;18315,3000000;18315,3000000;18315,3000000;18315,3000000;18315,3000000;18315,3000000;18315,3000000;18315,3000000;18315,3000000;
S;0,0000000;75889,4301260;55569,4587085;1608,3441388;196,8571131;200,3977768;61135,8228005;42596,3793128;1880,9788235;332,7208091;334,9290815;96135,5253729;64099,8962407;2394,3666888;351,2303236;357,1031613;73352,5565747;50297,7356354;1990,7504344;407,8903166;410,1751462;85840,8804434;64977,1452501;3448,6467446;504,9251179;502,8330874;80011,1776322;55176,2046484;2335,0457095;548,7940687;549,5198782;86571,8160999;61892,9131066;3998,2700611;580,0337891;584,5696020;75311,9137408;57520,7690567;2884,5812573;640,8924238;638,2279562;81402,4811001;59814,8060261;2688,7367715;645,0927306;646,7672653;79896,8676959;61482,8219140;2491,1222419;643,1945559;640,1485361;640,1485361;640,1485361;640,1485361;640,1485361;640,1485361;640,1485361;640,1485361;640,1485361;640,1485361;
V;0,0000000;5567232084,6933340;2985032583,1122220;2500545,1733333;37460,9655556;38820,6266667;3613002535,1733336;1753969812,8722222;3420145,2900000;107013,0322222;108438,2400000;8933971264,0988880;3971836808,1288896;5541892,1122222;119250,6488889;123271,9122222;5201244304,1822220;2445533469,7122220;3830984,3822222;160828,6933333;162635,5288889;7123034863,4488890;4081295091,3600000;11496725,5566667;246451,0622222;244413,0766667;6188395594,5555560;2942933107,4266667;5270690,5166667;291135,7655556;291906,3600000;7244856698,0722240;3703041603,0622220;15453291,3655556;325224,5566667;330330,8988889;5482821539,5955550;3198350910,4400015;8043448,7288889;397051,6622222;393757,0933333;6405485131,6100010;3458550652,6100000;6988328,5788889;402273,1433333;404364,2988889;6170725818,6988890;3654132810,8266660;5998833,6900000;399909,2622222;396130,4766667;396130,4766667;396130,4766667;396130,4766667;396130,4766667;396130,4766667;396130,4766667;396130,4766667;396130,4766667;396130,4766667;
Intervallo;[5,00000 , 5,00000];[332806,09979 , 379831,50021];[179146,23722 , 213580,22944];[2439,08932 , 3435,71068];[1791,37474 , 1913,35859];[1790,11108 , 1914,28892];[320655,78624 , 358539,01376];[207208,26557 , 233603,40110];[5123,11935 , 6288,68065];[3668,88031 , 3875,05302];[3663,62946 , 3871,17054];[323728,45130 , 383299,48204];[191752,76547 , 231472,70120];[6092,59055 , 7576,27612];[5477,04554 , 5694,68779];[5471,12597 , 5692,40737];[304871,42858 , 350324,83809];[214665,56671 , 245832,89995];[8689,07566 , 9922,65768];[7283,82400 , 7536,57600];[7279,18276 , 7533,35057];[289050,59126 , 342242,47541];[222306,03548 , 262569,56452];[10836,61132 , 12973,58868];[9071,82653 , 9384,70680];[9067,50803 , 9379,09197];[317167,59872 , 366747,06795];[208078,04516 , 242268,35484];[11576,03654 , 13022,96346];[10866,60135 , 11206,66532];[10865,94314 , 11206,45686];[272617,42664 , 326262,24003];[237098,88484 , 275451,24849];[14393,58908 , 16871,14426];[12675,18906 , 13034,61094];[12665,25041 , 13027,48293];[321787,16410 , 368454,70257];[213410,03254 , 249053,16746];[15870,20816 , 17657,65851];[14464,16666 , 14861,30000];[14461,05886 , 14856,54114];[316346,50007 , 366788,09993];[221814,37475 , 258879,02525];[17673,38634 , 19339,48033];[16301,83196 , 16701,56804];[16298,97980 , 16699,75353];[315159,31518 , 364667,95149];[215502,67607 , 253600,92393];[19337,07960 , 20880,72040];[18123,78673 , 18522,34660];[18116,96381 , 18513,63619];[18116,96381 , 18513,63619];[18116,96381 , 18513,63619];[18116,96381 , 18513,63619];[18116,96381 , 18513,63619];[18116,96381 , 18513,63619];[18116,96381 , 18513,63619];[18116,96381 , 18513,63619];[18116,96381 , 18513,63619];[18116,96381 , 18513,63619];
N6000-0.0042I0-C61-5-QS5T500W10P500-AN0RN0CN0-ECS50-COONNNN-5;5,0000000;414963,5000000;426132,3333333;5287,9333333;0,0000000;5,0000000;389111,7666667;450913,8333333;4292,8666667;0,0000000;5,0000000;398180,3000000;451576,8000000;3737,1000000;0,0000000;5,0000000;444720,9333333;410951,6000000;1778,9666667;0,0000000;5,0000000;369891,9333333;466872,5000000;6995,8666667;0,0000000;5,0000000;403353,0666667;437276,4000000;5062,8333333;0,0000000;5,0000000;457260,8000000;392809,8333333;3784,2000000;0,0000000;5,0000000;397600,2666667;440725,4666667;6055,8000000;0,0000000;5,0000000;444779,4333333;404106,6333333;1318,1666667;0,0000000;5,0000000;414800,3666667;434088,5000000;3603,3333333;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;
S;0,0000000;107126,8360264;88035,5141540;6262,0203743;0,0000000;0,0000000;116765,6147073;97448,8010524;6930,6546476;0,0000000;0,0000000;96163,6850250;84756,3030041;4980,8340830;0,0000000;0,0000000;103885,1027367;85068,5404607;4019,6545784;0,0000000;0,0000000;108408,6762544;84215,6577356;8706,9884090;0,0000000;0,0000000;133155,7990830;108581,8473149;6330,9354764;0,0000000;0,0000000;119787,1092988;102997,8408425;7194,2786770;0,0000000;0,0000000;88225,9114882;75741,1104959;7152,2629137;0,0000000;0,0000000;134703,9023444;117424,2339479;2943,1110338;0,0000000;0,0000000;101065,8975904;84669,8101678;5395,2733869;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;
V;0,0000000;11093620363,7833330;7491910027,2888900;37905802,5288889;0,0000000;0,0000000;13179735152,0455550;9179726532,3388900;46432841,3822222;0,0000000;0,0000000;8939205840,3433320;6944176535,6266670;23981751,2233333;0,0000000;0,0000000;10432377418,2622260;6995434690,2400010;15619035,4988889;0,0000000;0,0000000;11360693050,9955580;6855867774,2500000;73284592,2488889;0,0000000;0,0000000;17139451268,4622230;11397016980,7733330;38744719,2055556;0,0000000;0,0000000;13870653169,0266670;10254936710,9388920;50032390,8266667;0,0000000;0,0000000;7524351075,9955560;5545491958,5155540;49449702,6266667;0,0000000;0,0000000;17540303263,2455560;13328835694,2988870;8373172,4722222;0,0000000;0,0000000;9873838467,2322270;6930010862,0500000;28138675,7555556;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;
Intervallo;[5,00000 , 5,00000];[381772,56451 , 448154,43549];[398856,43142 , 453408,23524];[3347,78162 , 7228,08505];[0,00000 , 0,00000];[5,00000 , 5,00000];[352934,46386 , 425289,06947];[420721,42787 , 481106,23880];[2145,55307 , 6440,18026];[0,00000 , 0,00000];[5,00000 , 5,00000];[368386,05997 , 427974,54003];[425316,89081 , 477836,70919];[2193,89618 , 5280,30382];[0,00000 , 0,00000];[5,00000 , 5,00000];[412534,37886 , 476907,48781];[384594,95078 , 437308,24922];[533,56355 , 3024,36979];[0,00000 , 0,00000];[5,00000 , 5,00000];[336303,84734 , 403480,01932];[440780,09807 , 492964,90193];[4298,19444 , 9693,53890];[0,00000 , 0,00000];[5,00000 , 5,00000];[362097,61937 , 444608,51396];[403634,66070 , 470918,13930];[3101,32977 , 7024,33690];[0,00000 , 0,00000];[5,00000 , 5,00000];[420147,35238 , 494374,24762];[360898,17779 , 424721,48888];[1555,20820 , 6013,19180];[0,00000 , 0,00000];[5,00000 , 5,00000];[370265,37426 , 424935,15908];[417258,72009 , 464192,21324];[3839,82587 , 8271,77413];[0,00000 , 0,00000];[5,00000 , 5,00000];[403044,33969 , 486514,52698];[367725,27159 , 440487,99508];[406,30730 , 2230,02603];[0,00000 , 0,00000];[5,00000 , 5,00000];[383487,28199 , 446113,45134];[407855,38875 , 460321,61125];[1931,72445 , 5274,94222];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];
N6000-0.0042I0-C61-5-QS5T500W10P500-AN20RN20CN0-ECS50-COONNNN-5;5,0000000;424864,9333333;418733,6000000;6961,0333333;2852,4000000;2812,6333333;393580,2333333;438317,1333333;12697,7000000;5737,4000000;5682,8000000;411152,4000000;416600,3000000;12154,7666667;8405,5666667;8370,6000000;378968,7333333;433038,4333333;16350,6666667;11081,1333333;11041,1000000;364723,7000000;437688,8666667;21778,4666667;13706,4666667;13661,8333333;392951,6333333;410534,3333333;19603,5000000;16256,2666667;16217,4666667;339068,9666667;446216,3000000;26096,0000000;18827,8666667;18766,7333333;395239,9000000;396612,7666667;26480,3000000;21292,2000000;21256,9666667;381489,1666667;408577,5666667;28679,5000000;23800,1666667;23762,9333333;386579,4000000;394794,6333333;30808,9333333;26284,4000000;26230,2666667;26227,1666667;26227,1666667;26227,1666667;26227,1666667;26227,1666667;26227,1666667;26227,1666667;26227,1666667;26227,1666667;
S;0,0000000;94340,6359050;75032,8799456;5949,7319064;256,5763448;270,2417160;80708,2496107;70949,5621637;6432,9612377;408,0482223;407,8395898;113350,6937391;86681,7655880;6265,3484185;408,7122488;416,0584840;94388,2114337;80128,2913147;5982,7880845;467,1963874;465,6294479;105694,8638762;80896,2096191;9607,7910114;567,0352256;563,5030265;98313,4583766;78204,3993733;5528,7767479;564,5226200;571,2071146;102949,8550482;83379,2137328;10763,9667441;626,5158023;620,7389330;93988,7894997;78736,0382521;6985,2527126;704,1095820;705,9557221;100767,8657811;81665,0730462;6705,9092405;695,6169221;701,1632174;95971,4481811;76306,2883582;5835,5291042;714,5795291;703,3816315;703,9471024;703,9471024;703,9471024;703,9471024;703,9471024;703,9471024;703,9471024;703,9471024;703,9471024;
